Año,Clave_Ent,Entidad,Bien jurídico afectado,Tipo de delito,Subtipo de delito,Modalidad,Marzo,Abril
2015,3,Baja California Sur,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con arma blanca,0,0
2015,3,Baja California Sur,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con otro elemento,0,0
2015,3,Baja California Sur,La vida y la Integridad corporal,Feminicidio,Feminicidio,No especificado,0,0
2015,3,Baja California Sur,La vida y la Integridad corporal,Aborto,Aborto,Aborto,0,0
2015,3,Baja California Sur,La vida y la Integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,0,0
2015,3,Baja California Sur,Libertad personal,Secuestro,Secuestro,Secuestro extorsivo,0,0
2015,3,Baja California Sur,Libertad personal,Secuestro,Secuestro,Secuestro con calidad de rehén,0,0
2015,3,Baja California Sur,Libertad personal,Secuestro,Secuestro,Secuestro para causar daño,0,0
2015,3,Baja California Sur,Libertad personal,Secuestro,Secuestro,Secuestro exprés,0,0
2015,3,Baja California Sur,Libertad personal,Secuestro,Secuestro,Otro tipo de secuestros,0,0
2015,3,Baja California Sur,Libertad personal,Tráfico de menores,Tráfico de menores,Tráfico de menores,0,0
2015,3,Baja California Sur,Libertad personal,Rapto,Rapto,Rapto,0,0
2015,3,Baja California Sur,Libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,2,5
2015,3,Baja California Sur,La libertad y la seguridad sexual,Abuso sexual,Abuso sexual,Abuso sexual,0,8
2015,3,Baja California Sur,La libertad y la seguridad sexual,Acoso sexual,Acoso sexual,Acoso sexual,0,0
2015,3,Baja California Sur,La libertad y la seguridad sexual,Hostigamiento sexual,Hostigamiento sexual,Hostigamiento sexual,0,0
2015,3,Baja California Sur,La libertad y la seguridad sexual,Violación simple,Violación simple,Violación simple,17,11
2015,3,Baja California Sur,La libertad y la seguridad sexual,Violación equiparada,Violación equiparada,Violación equiparada,0,0
2015,3,Baja California Sur,La libertad y la seguridad sexual,Incesto,Incesto,Incesto,0,0
2015,3,Baja California Sur,La libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,10,4
2015,3,Baja California Sur,El patrimonio,Robo,Robo a casa habitación,Con violencia,0,1
2015,3,Baja California Sur,El patrimonio,Robo,Robo a casa habitación,Sin violencia,179,166
2015,3,Baja California Sur,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,0,0
2015,3,Baja California Sur,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,103,77
2015,3,Baja California Sur,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Con violencia,0,0
2015,3,Baja California Sur,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,0,0
